"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 01:56:55 IST 2024","Sun Jul 28 01:57:13 IST 2024","17168","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then User compares the ""A_SafetyStatementPage"" page ""fullpageScreenshot"" for image comparison","Then User compares the ""A_SafetyStatementPage"" page ""fullpageScreenshot"" for image comparison",""
"passed","Sun Jul 28 01:57:14 IST 2024","Sun Jul 28 01:57:15 IST 2024","167","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify the actual list of products with the expected ""ListofProducts""","Then Verify the actual list of products with the expected ""ListofProducts""",""
"passed","Sun Jul 28 01:56:39 IST 2024","Sun Jul 28 01:56:55 IST 2024","16265","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then User take the ""A_SafetyStatementPage"" page ""fullpageScreenshot"" for image comparison","Then User take the ""A_SafetyStatementPage"" page ""fullpageScreenshot"" for image comparison",""
"passed","Sun Jul 28 01:57:14 IST 2024","Sun Jul 28 01:57:14 IST 2024","196","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then I click on ""safetySliderRightCarousel"" and validate ""dataBasedSearchButton"" is selected","Then I click on ""safetySliderRightCarousel"" and validate ""dataBasedSearchButton"" is selected",""
"passed","Sun Jul 28 01:57:13 IST 2024","Sun Jul 28 01:57:13 IST 2024","582","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Validate slider icons are not selected","Then Validate slider icons are not selected",""
"passed","Sun Jul 28 01:57:14 IST 2024","Sun Jul 28 01:57:14 IST 2024","36","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify ""safetySliderRightCarousel"" is not visible","Then Verify ""safetySliderRightCarousel"" is not visible",""
"passed","Sun Jul 28 01:57:13 IST 2024","Sun Jul 28 01:57:13 IST 2024","110","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify below elements are visible","Then Verify below elements are visible",""
"passed","Sun Jul 28 01:57:15 IST 2024","Sun Jul 28 01:57:15 IST 2024","1","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","","",""
"passed","Sun Jul 28 01:56:36 IST 2024","Sun Jul 28 01:56:39 IST 2024","2736","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Given Verify the ""urlVolvo"" is launching in the browser","Given Verify the ""urlVolvo"" is launching in the browser",""
"passed","Sun Jul 28 01:57:13 IST 2024","Sun Jul 28 01:57:13 IST 2024","56","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Validate ""saveSpaceTechButton"" is selected","Then Validate ""saveSpaceTechButton"" is selected",""
"passed","Sun Jul 28 01:57:14 IST 2024","Sun Jul 28 01:57:14 IST 2024","24","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify ""productListSliderRightCarousel"" is not enabled","Then Verify ""productListSliderRightCarousel"" is not enabled",""
"passed","Sun Jul 28 01:57:13 IST 2024","Sun Jul 28 01:57:13 IST 2024","45","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify the title of the webpage","Then Verify the title of the webpage",""
"passed","Sun Jul 28 01:57:14 IST 2024","Sun Jul 28 01:57:14 IST 2024","54","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify ""safetySliderLeftCarousel"" is visible","Then Verify ""safetySliderLeftCarousel"" is visible",""
"passed","Sun Jul 28 01:57:13 IST 2024","Sun Jul 28 01:57:14 IST 2024","712","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then I click on ""safetySliderRightCarousel"" and validate ""acclaimedLifeSaverButton"" is selected","Then I click on ""safetySliderRightCarousel"" and validate ""acclaimedLifeSaverButton"" is selected",""
"passed","Sun Jul 28 01:57:14 IST 2024","Sun Jul 28 01:57:14 IST 2024","45","","Launch volvo application url: Validation of the Home Page","","Launch volvo application url: Validation of the Home Page","Then Verify ""productListSliderLeftCarousel"" is enabled","Then Verify ""productListSliderLeftCarousel"" is enabled",""
